,Audio,Sr,Names,Species
0,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9540026e-05
 -5.2679025e-05 -7.3427691e-06]",22050,10584.wav,coromandelica
1,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,10847.wav,coromandelica
2,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,10856.wav,coromandelica
3,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,10874.wav,coromandelica
4,"[-1.1084467e-12  2.7284841e-12 -2.2737368e-13 ... -3.8458733e-05
 -4.1935942e-05  2.3717526e-05]",22050,10896.wav,coromandelica
5,[0.         0.         0.         ... 0.00175315 0.00111229 0.00038128],22050,10983.wav,coromandelica
6,"[ 0.          0.          0.         ...  0.00019783 -0.00025196
 -0.00029593]",22050,10986.wav,coromandelica
7,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,11023.wav,coromandelica
8,"[-1.9037514e-05 -1.5864149e-05  1.6951840e-04 ... -1.6852359e-03
 -6.5346621e-04  1.7772865e-04]",22050,11079.wav,coromandelica
9,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,11173.wav,coromandelica
10,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,11258.wav,coromandelica
11,"[ 1.3125418e-06 -1.5017031e-06  1.7742477e-06 ... -1.5492435e-04
 -6.0174032e-05 -8.0788886e-05]",22050,11285.wav,coromandelica
12,"[-0.00495038 -0.00338746  0.01184362 ... -0.00896657  0.00422832
  0.00752231]",22050,11573.wav,coromandelica
13,"[ 0.          0.          0.         ... -0.01369458 -0.01409636
 -0.01490333]",22050,11821.wav,coromandelica
14,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,12047.wav,coromandelica
15,"[4.3655746e-10 5.2386895e-10 1.6007107e-10 ... 1.2337346e-02 1.3026715e-02
 8.1893243e-03]",22050,12134.wav,coromandelica
16,"[ 5.8207661e-10  2.3283064e-10  9.8953024e-10 ... -3.7074853e-03
 -3.6539698e-03 -3.2697648e-03]",22050,12226.wav,coromandelica
17,"[ 4.6566129e-10 -2.9103830e-10  7.5669959e-10 ... -9.4331654e-11
  1.0345502e-10 -3.1775471e-11]",22050,12256.wav,coromandelica
