,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
0,335628,Megapodius,nicobariensis,,birds,Nicobar Megapode,Sudhir Garg,India,,,,30,call,,,field recording,//xeno-canto.org/335628,,,"{'small': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/ffts/XC335628-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/ffts/XC335628-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/ffts/XC335628-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/ffts/XC335628-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/wave/XC335628-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/wave/XC335628-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TDOHGXARUW/wave/XC335628-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,00:30,2015-11-26,2016-09-21,[],"It was one of toughest journey of mine for search of elusive Nicobar Megapode.. from Jaipur to Delhi,  Delhi to Port Blair via Calcutta and after that 2 days in ship to Great Nicobar Islands..  but the real ordeal was yet to start .. some taxi drop out outside dense forest of Galathea Bay , walking around mountains in rain, slippery muddy path, galloping big rocks and miles of walking to a wild place, no electricity, no moblie, no sign of life and only sea water along with slippery rocks with loads of our luggage on our shoulders carrying food for two days, some cloths, camera equipment..  thanks to three local forest porters without them it was impossible to find a way out and manage shelter at night. some wooden sleepers to sleep and only fish and rice to eat. full of mosquitoes ,  Sea shore full of crocodiles and passage to out temp shelter was through waist deep waters, the story is quite long and needs time to explain .. the actual place of likely presence of Nicobar Megapode was further away and through dense forest ..  the place we were staying was some local point of stay..and bird destination was further away..the bird.. elusive Megapod ..  very very rare and shy.. found here only at Galathia in entire world. .comes quite in the middle of dense thick forest at his mount. .a place where he had laid last year.
 I was very tired and no strength left to walk further but my friend Mr Sangha was quite ready and I had to join.  One old forester John was acquitted with the place and only he could have led the location in that dense forest. he led the way and to my surprise there was not any track etc.. only thick forest with all wet muddy path and all kind of hurdle in walking. .John was ahead cutting all wood and branches coming in the way and making some temporary passage for us to follow. . Most of the time it was raining. .we had to walk for an hour to reach the expected destination.. it was quite dehydrating and we forgot to bring any water.. the humidity above 100  and all my towels and clothing were wet due to sweating. . we couldn't manage to click pictures but he was whole night around us.. manage some recording for the first time ..
",no,no,no,,,no,,,44100
1,298956,Megapodius,nicobariensis,,birds,Nicobar Megapode,Garima Bhatia,India,,,,30,call,,,field recording,//xeno-canto.org/298956,,,"{'small': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/ffts/XC298956-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/ffts/XC298956-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/ffts/XC298956-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/ffts/XC298956-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/wave/XC298956-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/wave/XC298956-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OMQCJWMKYZ/wave/XC298956-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:20,07:10,2015-12-19,2016-01-11,[],"Bird was seen briefly at nest (observers were in a hide), after which there was a heavy downpour for ~ 30min. As soon as the rain stopped, the bird started calling loudly near the nest, and was seen and photographed subsequently while working on the nest. ",yes,yes,no,,,no,,,16000
2,569023,Lerwa,lerwa,,birds,Snow Partridge,Jelle Scharringa,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,call,,,field recording,//xeno-canto.org/569023,https://xeno-canto.org/569023/download,XC569023-a10c.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569023-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569023-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569023-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569023-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569023-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569023-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569023-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,07:00,2017-02-28,2020-06-16,['Carpodacus thura'],"8 birds together, a few of them calling.",yes,yes,yes,,,no,,,44100
3,569021,Lerwa,lerwa,,birds,Snow Partridge,Jelle Scharringa,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,call,,,field recording,//xeno-canto.org/569021,https://xeno-canto.org/569021/download,XC569021-a10b.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569021-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569021-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569021-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569021-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569021-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569021-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569021-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,07:00,2017-02-28,2020-06-16,[],"8 birds together, a few of them calling.",yes,yes,yes,,,no,,,44100
4,569020,Lerwa,lerwa,,birds,Snow Partridge,Jelle Scharringa,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,call,,,field recording,//xeno-canto.org/569020,https://xeno-canto.org/569020/download,XC569020-a10a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569020-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569020-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569020-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC569020-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569020-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569020-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC569020-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:48,07:00,2017-02-28,2020-06-16,[],"8 birds together, a few of them calling.",yes,yes,yes,,,no,,,44100
5,426652,Lerwa,lerwa,,birds,Snow Partridge,Peter Boesman,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,call,,,field recording,//xeno-canto.org/426652,https://xeno-canto.org/426652/download,XC426652-LS108528 Snow Partridge calls A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426652-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426652-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426652-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426652-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426652-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426652-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426652-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:58,09:00,2018-04-04,2018-07-23,[],,unknown,unknown,unknown,,,no,,,44100
6,426650,Lerwa,lerwa,,birds,Snow Partridge,Peter Boesman,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,call,,,field recording,//xeno-canto.org/426650,https://xeno-canto.org/426650/download,XC426650-LS108525 Snow Partridge call A Fire-tailed Sunbird C.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426650-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426650-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426650-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426650-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426650-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426650-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426650-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:23,09:00,2018-04-04,2018-07-23,[],,unknown,unknown,unknown,,,no,,,44100
7,426651,Lerwa,lerwa,,birds,Snow Partridge,Peter Boesman,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,call,,,field recording,//xeno-canto.org/426651,https://xeno-canto.org/426651/download,XC426651-LS108527 Snow Partridge call B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426651-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426651-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426651-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426651-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426651-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426651-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC426651-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:13,09:00,2018-04-04,2018-07-23,[],,unknown,unknown,unknown,,,no,,,44100
8,189386,Lerwa,lerwa,,birds,Snow Partridge,Ding Li Yong,India,"Se La Pass, Tawang",27.503,92.104,4200,song,,,field recording,//xeno-canto.org/189386,https://xeno-canto.org/189386/download,XC189386-Snow Partridge_Sela.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC189386-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC189386-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC189386-large.png', 'full': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC189386-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/wave/XC189386-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/wave/XC189386-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NWTKEXMKCA/wave/XC189386-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:10,11:30,2010-12-16,2014-08-02,[],,yes,yes,no,,,no,,,44100
9,721844,Lerwa,lerwa,,birds,Snow Partridge,Jelle Scharringa,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,call,,,field recording,//xeno-canto.org/721844,https://xeno-canto.org/721844/download,XC721844-a09ab.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC721844-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC721844-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC721844-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC721844-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC721844-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC721844-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC721844-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:10,06:50,2017-02-28,2022-05-04,[],"8 birds together, a few of them calling.  Open slopes above tree line  at 3800m
",yes,yes,no,,,no,,,44100
