,Unnamed: 0,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
56,56,706170,Francolinus,pondicerianus,interpositus,birds,Grey Francolin,Kousheyo Bagchi,India,"Barshul Birding Hotspot, Bardhaman, West Bengal",23.175,87.9566,30,song,"female, male","adult, juvenile",field recording,//xeno-canto.org/706170,https://xeno-canto.org/706170/download,XC706170-GF.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/ffts/XC706170-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/ffts/XC706170-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/ffts/XC706170-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/ffts/XC706170-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/wave/XC706170-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/wave/XC706170-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JNBYXVQQRB/wave/XC706170-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:11,16:00,2021-10-03,2022-03-05,[],Dry vegetations around R. Damodar. Eastern edge of the peninsular plateau.,unknown,unknown,unknown,,,no,,,44100
57,57,667224,Francolinus,pondicerianus,,birds,Grey Francolin,Jelle Scharringa,India,"Shreenagar Rural, Bharatpur, Rajasthan",27.1536,77.5465,180,song,,,field recording,//xeno-canto.org/667224,https://xeno-canto.org/667224/download,XC667224-a14a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667224-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667224-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667224-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667224-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC667224-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC667224-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC667224-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:38,18:00,1986-02-11,2021-08-09,"['Ficedula parva', 'Argya striata']","Several birds on ground calling from many directions. In dry, open scrub 
",yes,yes,no,,,no,,,44100
58,58,667223,Francolinus,pondicerianus,,birds,Grey Francolin,Jelle Scharringa,India,"Shreenagar Rural, Bharatpur, Rajasthan",27.1536,77.5465,180,song,,,field recording,//xeno-canto.org/667223,https://xeno-canto.org/667223/download,XC667223-a06a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667223-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667223-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667223-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC667223-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC667223-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC667223-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC667223-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,11:30,1986-02-11,2021-08-09,"['Corvus splendens', 'Psittacula krameri', 'Spilopelia senegalensis']","Several birds on ground calling from different sides. In dry, open scrub.
",yes,yes,no,,,no,,,44100
59,59,611583,Francolinus,pondicerianus,,birds,Grey Francolin,Jelle Scharringa,India,"Tal, Kutch, Gujarat",23.5979,69.2405,100,song,,,field recording,//xeno-canto.org/611583,https://xeno-canto.org/611583/download,XC611583-a13a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611583-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611583-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611583-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611583-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC611583-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC611583-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC611583-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,08:00,2012-02-20,2020-12-30,['Grus grus'],Banni Grasslands.,yes,yes,no,,,no,,,44100
60,60,611581,Francolinus,pondicerianus,,birds,Grey Francolin,Jelle Scharringa,India,Centre for Desert & Ocean (CEDO),23.3777,69.2658,110,song,,,field recording,//xeno-canto.org/611581,https://xeno-canto.org/611581/download,XC611581-a14a.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611581-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611581-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611581-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC611581-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC611581-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC611581-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KDTMIWOGNC/wave/XC611581-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,14:30,2012-02-20,2020-12-30,['Passer domesticus'],Edge of Moti Virani village.,yes,yes,no,,,no,,,44100
61,61,472717,Francolinus,pondicerianus,,birds,Grey Francolin,Peter Boesman,India,"Keoladeo National Park, Bharatpur, Rajasthan",27.1593,77.5232,,call,,,field recording,//xeno-canto.org/472717,https://xeno-canto.org/472717/download,XC472717-LS101377 Grey Francolin call A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472717-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472717-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472717-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472717-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC472717-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC472717-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC472717-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:16,07:30,2019-04-06,2019-05-10,[],,unknown,unknown,unknown,,,no,,,44100
62,62,459199,Francolinus,pondicerianus,,birds,Grey Francolin,Vivek Puliyeri,India,"IIT Madras, Chennai, Tamil Nadu",12.9912,80.2363,10,call,,,field recording,//xeno-canto.org/459199,https://xeno-canto.org/459199/download,XC459199-Grey Francolin_IITM_25Feb2019_06.58am.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459199-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459199-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459199-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/ffts/XC459199-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459199-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459199-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BLYJHGYYOC/wave/XC459199-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,07:00,2019-02-25,2019-02-25,[],,no,no,no,,,no,,,48000
63,63,441379,Francolinus,pondicerianus,,birds,Grey Francolin,Sreekumar Chirukandoth,India,"Bareilly, Bareilly, Uttar Pradesh",28.3967,79.4319,180,call,,,field recording,//xeno-canto.org/441379,https://xeno-canto.org/441379/download,XC441379-Francolin_20181014_075748GrayFancolin.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC441379-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC441379-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC441379-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC441379-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/wave/XC441379-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/wave/XC441379-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HRYIVDQHBC/wave/XC441379-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,08:00,2018-10-14,2018-11-05,['Corvus splendens'],An individual calling from the fields,yes,yes,no,,,no,,,44100
64,64,351857,Francolinus,pondicerianus,,birds,Grey Francolin,Oscar Campbell,India,"Bari, Udaipur, Rajasthan",24.6227,73.6597,600,call,,,field recording,//xeno-canto.org/351857,https://xeno-canto.org/351857/download,XC351857-161224_GreyFrancolin_Udaipur_OC.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC351857-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC351857-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC351857-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/ffts/XC351857-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/wave/XC351857-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/wave/XC351857-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RFRTVEHIZX/wave/XC351857-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,08:30,2016-12-24,2017-01-22,[],Calling from dense scrub on edge of field on bank; two cuts of same bird taken c1min apart.,no,no,no,,,no,,,44100
65,65,337047,Francolinus,pondicerianus,,birds,Grey Francolin,Craig Robertson,India,"Shreenagar Rural, Bharatpur, Rajasthan",27.1453,77.547,180,call,uncertain,adult,field recording,//xeno-canto.org/337047,https://xeno-canto.org/337047/download,XC337047-GreyFrancolins-Bharatpur-CR.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/ffts/XC337047-small.png', 'med': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/ffts/XC337047-med.png', 'large': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/ffts/XC337047-large.png', 'full': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/ffts/XC337047-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/wave/XC337047-small.png', 'med': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/wave/XC337047-med.png', 'large': '//xeno-canto.org/sounds/uploaded/IERLEVXEIF/wave/XC337047-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:51,08:00,2007-03-21,2016-10-04,[],"Recorded in the hotel yard, Bharatpur Bird Park, where they came out of nearby forest. Recorded with Sony Minidisc MZ R700 recorder, fed to Mac G4 set for aiff format; level normalizer applied; converted to mp3.",yes,yes,no,,,no,,,44100
