,spectrogram,mel_spectrogram,harmonics,perceptual_shock_wave,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,tempo_bpm,mfcc0,mfcc_delta_0,mfcc_accelerate_0,mfcc1,mfcc_delta_1,mfcc_accelerate_1,mfcc2,mfcc_delta_2,mfcc_accelerate_2,mfcc3,mfcc_delta_3,mfcc_accelerate_3,mfcc4,mfcc_delta_4,mfcc_accelerate_4,mfcc5,mfcc_delta_5,mfcc_accelerate_5,mfcc6,mfcc_delta_6,mfcc_accelerate_6,mfcc7,mfcc_delta_7,mfcc_accelerate_7,mfcc8,mfcc_delta_8,mfcc_accelerate_8,mfcc9,mfcc_delta_9,mfcc_accelerate_9,mfcc10,mfcc_delta_10,mfcc_accelerate_10,mfcc11,mfcc_delta_11,mfcc_accelerate_11,mfcc12,mfcc_delta_12,mfcc_accelerate_12,Species,Id
0,-42.831215,-62.77721,-4.5873872e-05,1.6950391e-05,0.4711502,0.5020965,0.5309537,0.536972,0.5886008,0.61504817,0.5268235,0.48727652,0.55507255,0.6062229,0.4892693,0.4299671,117.45383522727273,-542.88495,-0.046145797,0.03136375,57.37317,-0.0613125,0.04171259,46.06831,-0.050090324,0.0342237,54.69528,-0.033336543,0.02311757,6.5450144,-0.013587517,0.010175388,29.31261,0.006297171,-0.0026098385,17.827892,0.023650613,-0.013403309,6.0103116,0.036451727,-0.020850874,15.520316,0.043629877,-0.024289556,15.713848,0.045166526,-0.023808843,14.70311,0.04198538,-0.020158622,2.8887,0.03566887,-0.014533434,14.327877,0.028072193,-0.0082876105,coromandelica,10584.wav
1,-72.204445,-80.0,-3.7997243e-06,-8.457318e-06,0.41829532,0.3450859,0.4056653,0.5621648,0.50953645,0.34967422,0.3769429,0.4901612,0.43771955,0.42205977,0.3479215,0.3889398,103.359375,-519.99384,0.00028801867,-0.00088747364,41.137024,0.0025300055,-0.0006836713,-7.9096303,0.0015841459,-0.00063476304,26.818195,-0.0008576649,-0.0008680885,-26.058538,-0.0012653008,0.0005158305,8.102692,-0.0010020259,4.8649767e-05,-3.3151023,-7.052041e-05,-0.00042186814,-19.510962,-0.0014940975,0.0013601627,-5.2224746,-0.00030158853,0.0004300612,-11.199688,-0.00019395066,-0.00052992324,-4.36075,-0.0013005752,0.0005503023,-9.553414,9.604908e-05,-0.0004615283,-5.0473866,-0.0016734329,-0.0004549605,coromandelica,10847.wav
2,-43.79953,-68.96212,-1.0267029e-05,-6.926698e-06,0.34267214,0.4938078,0.38232213,0.30298308,0.31844103,0.50833875,0.7812923,0.7303166,0.49319112,0.42587182,0.36893412,0.31815907,123.046875,-390.50348,0.07451022,-0.32124403,36.602585,-0.022562522,-0.02388653,26.951511,-0.010700046,-0.04404936,19.61124,0.027856087,0.019377887,-13.667816,0.040191054,-0.02711793,28.08668,0.041153874,-0.030868573,-0.545133,-0.038974006,-0.022727322,19.592545,-0.092532046,-0.020147324,3.5941567,0.045777168,0.03585512,17.666637,-0.002130657,-0.0020061312,8.886354,-0.050205223,-0.010581289,-0.8604675,-0.012053198,0.0012767536,3.0292192,0.06460833,0.03160164,coromandelica,10856.wav
3,-72.204445,-80.0,-3.7997243e-06,-8.457318e-06,0.41829532,0.3450859,0.4056653,0.5621648,0.50953645,0.34967422,0.3769429,0.4901612,0.43771955,0.42205977,0.3479215,0.3889398,103.359375,-519.99384,0.00028801867,-0.00088747364,41.137024,0.0025300055,-0.0006836713,-7.9096303,0.0015841459,-0.00063476304,26.818195,-0.0008576649,-0.0008680885,-26.058538,-0.0012653008,0.0005158305,8.102692,-0.0010020259,4.8649767e-05,-3.3151023,-7.052041e-05,-0.00042186814,-19.510962,-0.0014940975,0.0013601627,-5.2224746,-0.00030158853,0.0004300612,-11.199688,-0.00019395066,-0.00052992324,-4.36075,-0.0013005752,0.0005503023,-9.553414,9.604908e-05,-0.0004615283,-5.0473866,-0.0016734329,-0.0004549605,coromandelica,10874.wav
4,-40.17264,-67.11776,-3.6829137e-05,-0.0002043327,0.5204428,0.52526915,0.5162456,0.5189095,0.6115672,0.7000894,0.5878879,0.51537466,0.49969307,0.5153822,0.5317889,0.525012,184.5703125,-451.8998,0.74025184,-0.3895866,82.18327,0.1308983,-0.113788046,62.86296,0.035727896,-0.06426308,50.03685,-0.027522454,-0.10191637,-13.76213,-0.008046268,0.03376163,32.550636,0.07489663,-0.010879825,19.653206,0.02548448,-0.020133208,12.396566,0.08822853,0.045210335,-10.843131,0.038106434,0.02726205,4.7538753,0.010455295,-0.017775029,13.942032,0.06720892,0.01803172,-19.432072,-0.005642939,-0.0065932097,4.173377,-0.03659857,-0.012950492,coromandelica,10896.wav
5,-41.352764,-79.80122,-8.2825936e-05,-1.8976969e-05,0.2615474,0.83715826,0.22351171,0.11040579,0.094836116,0.08829024,0.1085929,0.23118216,0.21404937,0.17587681,0.16676772,0.14449485,161.4990234375,-587.5077,1.1889261,0.02032307,130.08128,0.7539785,-0.01398201,-46.41351,-0.2126823,-0.040922087,-9.889526,0.030619118,-0.0071264845,-0.08027361,0.11333576,-0.011676009,-13.280893,-0.019816529,-0.02000312,31.746195,0.16828525,0.020165522,11.905584,0.10135655,0.030541096,-22.791237,-0.0745711,0.009665018,0.059887785,-0.018221194,0.013735505,-9.434469,-0.067765035,0.013712431,-18.31216,-0.07286435,0.0021731523,10.875992,0.046717834,0.0037558416,coromandelica,10983.wav
6,-56.56645,-67.40366,-2.2983986e-06,4.772541e-05,0.5297007,0.56446445,0.5937279,0.6056346,0.54258686,0.5101209,0.5064602,0.58691525,0.5965392,0.5682469,0.5222619,0.50860363,234.90767045454547,-337.47974,0.22959639,0.09540941,80.41799,0.19390728,0.056541096,22.836044,0.08211581,-0.0021017175,63.438126,0.09030588,0.0084116375,6.0899158,0.059213895,0.0007252642,21.012592,0.034434758,0.0022105637,20.898901,0.023727389,-0.0008230306,9.812386,0.010023369,-0.0021095504,0.034410734,-0.00045531726,0.0010581629,5.789883,-0.0018717677,0.0023110053,4.1143293,0.004690905,0.0007757143,-2.541257,0.0025251226,-0.00066940463,5.7738175,-0.0083803795,0.001372295,coromandelica,10986.wav
7,-72.204445,-80.0,-3.7997243e-06,-8.457318e-06,0.41829532,0.3450859,0.4056653,0.5621648,0.50953645,0.34967422,0.3769429,0.4901612,0.43771955,0.42205977,0.3479215,0.3889398,103.359375,-519.99384,0.00028801867,-0.00088747364,41.137024,0.0025300055,-0.0006836713,-7.9096303,0.0015841459,-0.00063476304,26.818195,-0.0008576649,-0.0008680885,-26.058538,-0.0012653008,0.0005158305,8.102692,-0.0010020259,4.8649767e-05,-3.3151023,-7.052041e-05,-0.00042186814,-19.510962,-0.0014940975,0.0013601627,-5.2224746,-0.00030158853,0.0004300612,-11.199688,-0.00019395066,-0.00052992324,-4.36075,-0.0013005752,0.0005503023,-9.553414,9.604908e-05,-0.0004615283,-5.0473866,-0.0016734329,-0.0004549605,coromandelica,11023.wav
8,-79.50166,-80.0,-9.1578745e-09,6.488493e-08,0.20798752,0.6812075,0.90135276,0.43487674,0.17451338,0.10393761,0.12910964,0.16970997,0.19736908,0.18283549,0.14058657,0.11764478,198.76802884615384,-491.24316,0.07834374,-0.030618291,-2.0058172,0.049173836,0.015799647,136.83482,-0.15148439,-0.0366234,-26.017248,0.059207067,0.00978984,-35.27463,0.0218486,-0.006425167,-29.560472,0.012206621,-0.0042925184,-9.269713,0.016322905,0.0084246,-28.702084,-0.0023745801,0.00321786,-11.233357,-0.024160385,-0.005297623,-6.321239,0.0064428896,0.006259861,-12.982023,-0.007080584,-0.006046231,-22.498686,-0.0035772563,0.005788309,-11.621727,0.009774252,0.004171854,coromandelica,11079.wav
9,-78.8163,-80.0,-3.8071475e-09,1.634966e-08,0.2954541,0.7777431,0.9259427,0.37956408,0.1490708,0.09559932,0.10431969,0.12132976,0.14445138,0.12033776,0.10514277,0.10733927,117.45383522727273,-514.62366,0.11342821,-0.008696034,-26.014736,-0.032489248,0.018622909,134.7646,-0.015861738,-0.0034000175,-6.862659,-0.0023614296,0.001364162,-37.359898,-0.009381174,0.0064855716,-39.87018,0.015706008,0.0038885262,-4.8039665,0.012890759,-0.0031337906,-34.850685,0.023495829,0.00482828,-16.867298,0.007941824,-0.004747685,-9.009314,0.006308096,0.0014504162,-27.792967,-0.0015390147,0.0051448825,-19.868534,0.0055830185,0.0018578067,-15.30922,-0.00901112,0.0026506234,coromandelica,11173.wav
10,-48.21254,-80.0,-4.633725e-05,-0.0001749122,0.5281056,0.46005455,0.42392564,0.3869036,0.34437475,0.35089245,0.39360398,0.49726927,0.58414197,0.6574234,0.6123829,0.6003512,78.30255681818181,-520.5195,0.37139374,0.099842794,90.34404,0.2776036,0.036152963,39.521477,0.15162744,-0.015408004,52.849014,0.15682508,-0.022456367,8.747553,0.045156747,0.0005700445,22.10504,0.017070498,0.008427198,12.191935,0.004081302,-0.003083942,10.447175,-0.014577823,0.006970224,3.377063,0.01066993,-0.00050349237,-1.1014081,-0.0073768245,9.920061e-05,3.8854399,0.0029905152,0.015086514,-0.4192392,-0.015736647,0.01218749,1.088979,-0.008414149,-0.0049177385,coromandelica,11258.wav
